
label,text
spam,Congratulations! You've been selected for a free gift card. Claim now!
spam,"Dear customer, you have won a prize in our lucky draw. Contact us to receive."
spam,Win cash now! Visit our website to claim your reward.
spam,You have been selected for a free vacation to Dubai. Reply to claim.
spam,Get a free iPhone by clicking this link now.
spam,Earn money working from home. Limited time offer!
spam,URGENT! Your account has been compromised. Please verify your details.
spam,You have a pending refund. Please provide bank details to process.
spam,Exclusive offer just for you! Buy one get one free.
spam,Final warning: your subscription will expire soon. Click to renew.
spam,Your loan approval is ready. Click to accept now.
spam,Hot singles in your area want to meet you. Click here to chat.
spam,You've won tickets to the music festival. Claim before they expire.
spam,Limited time! 50% off on all products. Visit our site.
spam,Urgent: verify your PayPal account information immediately.
spam,Earn $1000 per day! Sign up for our free webinar.
spam,"This is not spam, you have won a car! Reply now."
spam,Low-interest loans available. Apply now.
spam,Free membership upgrade. Click to activate.
spam,Get approved for a credit card with zero credit check.
ham,"Hey, are we still on for dinner tonight?"
ham,Don't forget to bring your homework tomorrow.
ham,Happy birthday! Hope you have a great day.
ham,Can you send me the meeting notes?
ham,"I am running late, will be there in 10 minutes."
ham,Let's catch up over tea this weekend.
ham,Thanks for your help with the project.
ham,Did you watch the match last night? It was amazing!
ham,How's your family doing?
ham,The train arrives at 6 pm. Don't be late.
ham,Please pick up some milk on your way home.
ham,I'll call you when I leave the office.
ham,Our class has been rescheduled to Monday.
ham,Looking forward to seeing you tomorrow.
ham,Can you please send me that recipe?
ham,Meeting confirmed for 3 pm in conference room A.
ham,Thanks for the invitation! I'll be there.
ham,I'm working from home today.
ham,Please let me know if you need anything.
ham,Good luck on your exam!
ham,Don't forget about our doctor's appointment.
ham,Happy anniversary! Love you.
ham,Remember to submit your assignment before noon.
ham,What time does the movie start?
ham,"My phone battery is low, I'll text later."
ham,See you at the football game tonight.
ham,Lunch at the new café today?
ham,Are you free for a quick call?
ham,We will discuss the plan in the meeting.
ham,Thank you for the birthday wishes.
